backend-api  | Gateway running on port 3000
backend-api  | {"ts":"2026-06-02T07:51:52.460Z","event":"jwt_verify_fail","reason":"missing_token","path":"/api/crypto/jwt-algorithm"}
backend-api  | {"ts":"2026-06-02T07:51:52.461Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":401,"duration_ms":0.857,"ip":"::ffff:172.21.0.1","request_id":"4b662db4-3afe-4b7d-8b69-46c1c07f5447","trace_id":"581609400d85318f518c1e54d3ce3749","span_id":"0815c19f1d0ef91e"}
backend-api  | {"ts":"2026-06-02T07:51:54.197Z","event":"jwt_verify_fail","reason":"missing_token","path":"/api/admin"}
backend-api  | {"ts":"2026-06-02T07:51:54.198Z","event":"http_request","method":"GET","path":"/api/admin","status":401,"duration_ms":1.319,"ip":"::ffff:172.21.0.1","request_id":"0a7aec9a-7a5e-437a-84e5-0bac7eeb3c47","trace_id":"d03b7539e892e190a0bb5095167aceac","span_id":"cdb2dd7bb02f9364"}
backend-api  | {"ts":"2026-06-02T07:54:12.607Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":1.166,"ip":"::ffff:172.21.0.1","request_id":"571ae0ba-b3c7-4500-8b77-5f23d1096200","trace_id":"a0b49dd5f7182677a5bec2d2418f7b3e","span_id":"b68867bb36e2ac33"}
backend-api  | {"ts":"2026-06-02T07:55:06.868Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.814,"ip":"::ffff:172.21.0.1","request_id":"1159ad76-475d-42a9-a33d-1a965b82ca91","trace_id":"06e9c2ceae7a6504cf9ce2bf571f0651","span_id":"13b972cf549373a2"}
backend-api  | {"ts":"2026-06-02T07:55:06.896Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":1.001,"ip":"::ffff:172.21.0.1","request_id":"2f0b34c6-95dd-4194-8447-224232fd5058","trace_id":"11af02bedb4b4c9830d18e7a209c9c24","span_id":"3fb0bf354df6e508"}
backend-api  | {"ts":"2026-06-02T07:58:19.344Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":0.739,"ip":"::ffff:172.21.0.1","request_id":"8402f8c4-ab00-4b12-b145-fc7b61293460","trace_id":"a2be9180fb5561846af04872ad30c902","span_id":"b825853f0ded4efa"}
backend-api  | {"ts":"2026-06-02T07:58:19.403Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.869,"ip":"::ffff:172.21.0.1","request_id":"3af74143-61f6-42d7-bf45-cbb01cfdd016","trace_id":"26a7df587e9a0bf7ed33b6dfa961359d","span_id":"55f62197d43a1ff6"}
backend-api  | {"ts":"2026-06-02T07:58:37.002Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":0.616,"ip":"::ffff:172.21.0.1","request_id":"8156bdc5-ca0a-45b9-92b2-9f98ce284373","trace_id":"2158f4f0085af23797b7621aefd7ca46","span_id":"645ad2a53feb86d3"}
backend-api  | {"ts":"2026-06-02T07:58:37.140Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.783,"ip":"::ffff:172.21.0.1","request_id":"78c10afc-e2d1-4538-a25d-bbae57ef4398","trace_id":"4cb9b18257a4150559bf30591b24592f","span_id":"8ce8e25117a73226"}
backend-api  | {"ts":"2026-06-02T07:58:46.433Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.625,"ip":"::ffff:172.21.0.1","request_id":"cb5c1fb5-f702-4c28-9d1c-07b98cb67976","trace_id":"84302e680297b3a2b140adc5ffabbf80","span_id":"74b3ed8dd6e99fcb"}
backend-api  | {"ts":"2026-06-02T07:59:04.930Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":0.859,"ip":"::ffff:172.21.0.1","request_id":"1cf6b8ee-630a-4c91-b245-4a0b5f22bb27","trace_id":"f2af2af8b83a6fe4e4095dd4814b2059","span_id":"35906e6c31bf8290"}
backend-api  | {"ts":"2026-06-02T07:59:05.031Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.595,"ip":"::ffff:172.21.0.1","request_id":"14414d2b-eff5-456f-a4df-ab90f1df5e13","trace_id":"892b5d5cd4924746426b07590552b525","span_id":"24d7e72785f43537"}
backend-api  | {"ts":"2026-06-02T07:59:05.296Z","event":"http_request","method":"POST","path":"/api/demo/token/hs256","status":200,"duration_ms":3.036,"ip":"::ffff:172.21.0.1","request_id":"17503dd4-84ff-4421-af4b-5ec8b88d198f","trace_id":"6b9b9d9169c0ad7728ee8a4fecd5b652","span_id":"4f6316f241cbbb7d"}
backend-api  | {"ts":"2026-06-02T07:59:05.315Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"demo-user-hs256","duration_ms":1.647,"trace_id":"d40945260fcd84c7077402d767f839a4"}
backend-api  | {"ts":"2026-06-02T07:59:05.316Z","event":"http_request","method":"GET","path":"/api/admin","status":403,"duration_ms":2.796,"ip":"::ffff:172.21.0.1","request_id":"f7998f32-5b60-42bc-a0ab-f5ecaaae5b2d","trace_id":"d40945260fcd84c7077402d767f839a4","span_id":"d7ca50593b7e534b"}
backend-api  | {"ts":"2026-06-02T07:59:37.129Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":0.793,"ip":"::ffff:172.21.0.1","request_id":"c7dc9832-80bf-470f-8b47-2518e6053c05","trace_id":"68ebf1fa63298b48aa2b13c9e88dae82","span_id":"aff5f4e73d39778d"}
backend-api  | {"ts":"2026-06-02T07:59:37.209Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.5,"ip":"::ffff:172.21.0.1","request_id":"38da3177-e107-493e-8cb3-190eaf40522a","trace_id":"67dbcf9d30245d9cedf2241251a46059","span_id":"be23e0af56ea4b27"}
backend-api  | {"ts":"2026-06-02T07:59:37.376Z","event":"http_request","method":"POST","path":"/api/demo/token/hs256","status":200,"duration_ms":1.378,"ip":"::ffff:172.21.0.1","request_id":"c291e935-4972-4b94-a4e9-59c54ef00916","trace_id":"7d3e95f351f42abcdd40b2a6dcc5b02f","span_id":"071133d77ed97747"}
backend-api  | {"ts":"2026-06-02T07:59:37.385Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"demo-user-hs256","duration_ms":0.933,"trace_id":"7b3afdb93657e868dcbbaec1095c7efb"}
backend-api  | {"ts":"2026-06-02T07:59:37.386Z","event":"http_request","method":"GET","path":"/api/admin","status":403,"duration_ms":1.629,"ip":"::ffff:172.21.0.1","request_id":"320cc0ed-c0ba-418c-b25f-2b72e87700f4","trace_id":"7b3afdb93657e868dcbbaec1095c7efb","span_id":"82f683998440b496"}
backend-api  | {"ts":"2026-06-02T07:59:37.596Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"attacker-001","duration_ms":0.992,"trace_id":"a8baf07ab7e3fcea8e7787028adc9e03"}
backend-api  | {"ts":"2026-06-02T07:59:37.596Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":200,"duration_ms":1.851,"ip":"::ffff:172.21.0.1","request_id":"8d4dcf29-41d9-40cd-b3ed-89616529cdef","trace_id":"a8baf07ab7e3fcea8e7787028adc9e03","span_id":"08210de1e683e03a"}
backend-api  | {"ts":"2026-06-02T07:59:37.637Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"attacker-001","duration_ms":1.559,"trace_id":"5da1c6fba89cdc2aeebfd03e427f5ff2"}
backend-api  | {"ts":"2026-06-02T07:59:37.639Z","event":"http_request","method":"GET","path":"/api/admin","status":200,"duration_ms":2.832,"ip":"::ffff:172.21.0.1","request_id":"d01afaa1-338b-44c0-922b-2931edf9cd75","trace_id":"5da1c6fba89cdc2aeebfd03e427f5ff2","span_id":"e4abef2e8e1aa3f2"}
backend-api  | {"ts":"2026-06-02T07:59:37.791Z","event":"jwt_verify_fail","reason":"HS256 unknown or revoked kid: wrong-hs256-kid","duration_ms":0.323,"trace_id":"3cb213bcf8cf8649f8743cf8ebf784f9"}
backend-api  | {"ts":"2026-06-02T07:59:37.792Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":401,"duration_ms":1.064,"ip":"::ffff:172.21.0.1","request_id":"5d1846dc-dcd7-4642-b416-6bed6e5c32ca","trace_id":"3cb213bcf8cf8649f8743cf8ebf784f9","span_id":"5dae4842275b0d20"}
backend-api  | {"ts":"2026-06-02T07:59:37.801Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":401,"duration_ms":0.594,"ip":"::ffff:172.21.0.1","request_id":"0dfd4bb8-c156-4316-ad3c-cf8a2794977f","trace_id":"f427bb6f93c93a110f8c02747cf3a14b","span_id":"19224c0413c86a8b"}
backend-api  | {"ts":"2026-06-02T08:00:51.201Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":0.577,"ip":"::ffff:172.21.0.1","request_id":"99dc4057-c95e-4642-a2e6-279b8d00dbbe","trace_id":"90509c921976bdf26edb565ec42fc971","span_id":"6a46683042fc1e7a"}
backend-api  | {"ts":"2026-06-02T08:00:51.470Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.463,"ip":"::ffff:172.21.0.1","request_id":"0b6128ca-68c9-48a5-8236-d066bb1e714c","trace_id":"2f88f261d348c09b0e1fe70ad1ad5056","span_id":"7560828fc59b3243"}
backend-api  | {"ts":"2026-06-02T08:00:51.611Z","event":"http_request","method":"POST","path":"/api/demo/token/hs256","status":200,"duration_ms":1.307,"ip":"::ffff:172.21.0.1","request_id":"c398a00f-6b72-47af-8fb7-16dcb85a7d33","trace_id":"76b1977c2b07d4ebc1d5586c897848d1","span_id":"109da0b3e6eb09dd"}
backend-api  | {"ts":"2026-06-02T08:00:51.622Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"demo-user-hs256","duration_ms":1.413,"trace_id":"055976efe693646f6b5871bd88082846"}
backend-api  | {"ts":"2026-06-02T08:00:51.622Z","event":"http_request","method":"GET","path":"/api/admin","status":403,"duration_ms":2.055,"ip":"::ffff:172.21.0.1","request_id":"276ce2d4-0c98-4133-ac0b-1c244d0bbe9e","trace_id":"055976efe693646f6b5871bd88082846","span_id":"1d813df25f515f0d"}
backend-api  | {"ts":"2026-06-02T08:00:51.783Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"attacker-001","duration_ms":0.943,"trace_id":"82566e90bab94b3c4751f6cde1a7fcdb"}
backend-api  | {"ts":"2026-06-02T08:00:51.784Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":200,"duration_ms":2.111,"ip":"::ffff:172.21.0.1","request_id":"271e2884-c557-4cbb-b7fb-dfb21a0b9eaa","trace_id":"82566e90bab94b3c4751f6cde1a7fcdb","span_id":"d3948a0ecfe05b58"}
backend-api  | {"ts":"2026-06-02T08:00:51.814Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"attacker-001","duration_ms":1.139,"trace_id":"cbaa00e7d5ef4313026782985b93d223"}
backend-api  | {"ts":"2026-06-02T08:00:51.815Z","event":"http_request","method":"GET","path":"/api/admin","status":200,"duration_ms":1.908,"ip":"::ffff:172.21.0.1","request_id":"9ace3302-b935-48f7-866a-a13341f2c6e3","trace_id":"cbaa00e7d5ef4313026782985b93d223","span_id":"f2a0c55b035c4f68"}
backend-api  | {"ts":"2026-06-02T08:00:51.975Z","event":"jwt_verify_fail","reason":"HS256 unknown or revoked kid: wrong-hs256-kid","duration_ms":0.42,"trace_id":"3d3fe69fe5f41f2174e25e4eba4520ca"}
backend-api  | {"ts":"2026-06-02T08:00:51.976Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":401,"duration_ms":1.17,"ip":"::ffff:172.21.0.1","request_id":"b9369202-4cae-45cb-a49f-2f55dbac6708","trace_id":"3d3fe69fe5f41f2174e25e4eba4520ca","span_id":"1c6fc4813b646287"}
backend-api  | {"ts":"2026-06-02T08:00:51.985Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":401,"duration_ms":1.006,"ip":"::ffff:172.21.0.1","request_id":"afa1b4fd-fb28-46db-ad6b-fc0cb8e0546c","trace_id":"b91470eb6832de51bc35483d2f8b515d","span_id":"7c46dda4b4390069"}
